Golden State Warriors*,67
Los Angeles Clippers*,56
San Antonio Spurs*,55
Atlanta Hawks*,60
Cleveland Cavaliers*,53
Portland Trail Blazers*,51
Houston Rockets*,56
Memphis Grizzlies*,55
Toronto Raptors*,49
Chicago Bulls*,50
Dallas Mavericks*,50
Oklahoma City Thunder,45
New Orleans Pelicans*,45
Washington Wizards*,46
Milwaukee Bucks*,41
Indiana Pacers,38
Utah Jazz,38
Boston Celtics*,40
Phoenix Suns,39
Detroit Pistons,32
Miami Heat,37
Brooklyn Nets*,38
Charlotte Hornets,33
Denver Nuggets,30
Sacramento Kings,29
Orlando Magic,25
Los Angeles Lakers,21
Minnesota Timberwolves,16
Philadelphia 76ers,18
New York Knicks,17
